## This is an edited version of migrant_journey_updated..._b.csv
## Dep. joining or accompanying => Dep_J_A
## Zero expired rows were omited. I've put them back in. 
## Africa Sub-Saharan => Sub_Saharan_Africa
nationality,year_issued,visa_cat_broad,year,status_year_end,value
Sub_Saharan_Africa,2007,Dep_J_A,2011,Expired,746
Sub_Saharan_Africa,2007,Dep_J_A,2011,Valid visa,4306
Sub_Saharan_Africa,2007,Dep_J_A,2012,Expired,953
Sub_Saharan_Africa,2007,Dep_J_A,2012,Valid visa,4099
Sub_Saharan_Africa,2007,Dep_J_A,2013,Expired,984
Sub_Saharan_Africa,2007,Dep_J_A,2013,Valid visa,4068
Sub_Saharan_Africa,2007,Dep_J_A,2014,Expired,1005
Sub_Saharan_Africa,2007,Dep_J_A,2014,Valid visa,4047
Sub_Saharan_Africa,2007,Dep_J_A,2015,Expired,1013
Sub_Saharan_Africa,2007,Dep_J_A,2015,Valid visa,4039
Sub_Saharan_Africa,2007,Dep_J_A,2016,Expired,1022
Sub_Saharan_Africa,2007,Dep_J_A,2016,Valid visa,4030
Sub_Saharan_Africa,2007,Dep_J_A,2017,Expired,1030
Sub_Saharan_Africa,2007,Dep_J_A,2017,Valid visa,4022
Sub_Saharan_Africa,2007,Dep_J_A,2018,Expired,1033
Sub_Saharan_Africa,2007,Dep_J_A,2018,Valid visa,4019
Sub_Saharan_Africa,2007,Dep_J_A,2019,Expired,1033
Sub_Saharan_Africa,2007,Dep_J_A,2019,Valid visa,4019
Sub_Saharan_Africa,2007,Dep_J_A,2020,Expired,1067
Sub_Saharan_Africa,2007,Dep_J_A,2020,Valid visa,3985
Sub_Saharan_Africa,2008,Dep_J_A,2008,Expired,16
Sub_Saharan_Africa,2008,Dep_J_A,2008,Valid visa,5421
Sub_Saharan_Africa,2008,Dep_J_A,2009,Expired,173
Sub_Saharan_Africa,2008,Dep_J_A,2009,Valid visa,5264
Sub_Saharan_Africa,2008,Dep_J_A,2010,Expired,599
Sub_Saharan_Africa,2008,Dep_J_A,2010,Valid visa,4838
Sub_Saharan_Africa,2008,Dep_J_A,2011,Expired,738
Sub_Saharan_Africa,2008,Dep_J_A,2011,Valid visa,4699
Sub_Saharan_Africa,2008,Dep_J_A,2012,Expired,882
Sub_Saharan_Africa,2008,Dep_J_A,2012,Valid visa,4555
Sub_Saharan_Africa,2008,Dep_J_A,2013,Expired,1207
Sub_Saharan_Africa,2008,Dep_J_A,2013,Valid visa,4230
