## This is an edited version of migrant_journey_updated..._b.csv
## Dep. joining or accompanying => Dep_J_A
## Zero expired rows were omited. I've put them back in. 
nationality,year_issued,visa_cat_broad,year,status_year_end,value
Africa Sub-Saharan,2004,Family,2016,Valid visa,6734
Africa Sub-Saharan,2004,Family,2017,Expired,2706
Africa Sub-Saharan,2004,Family,2017,Valid visa,6731
Africa Sub-Saharan,2004,Family,2018,Expired,2707
Africa Sub-Saharan,2004,Family,2018,Valid visa,6730
Africa Sub-Saharan,2004,Family,2019,Expired,2708
Africa Sub-Saharan,2004,Family,2019,Valid visa,6729
Africa Sub-Saharan,2004,Family,2020,Expired,2716
Africa Sub-Saharan,2004,Family,2020,Valid visa,6721
Africa Sub-Saharan,2005,Family,2005,Expired,62
Africa Sub-Saharan,2005,Family,2005,Valid visa,9818
Africa Sub-Saharan,2005,Family,2006,Expired,1557
Africa Sub-Saharan,2005,Family,2006,Valid visa,8323
Africa Sub-Saharan,2005,Family,2007,Expired,2385
Africa Sub-Saharan,2005,Family,2007,Valid visa,7495
Africa Sub-Saharan,2005,Family,2008,Expired,2547
Africa Sub-Saharan,2005,Family,2008,Valid visa,7333
Africa Sub-Saharan,2005,Family,2009,Expired,2658
Africa Sub-Saharan,2005,Family,2009,Valid visa,7222
Africa Sub-Saharan,2005,Family,2010,Expired,2709
Africa Sub-Saharan,2005,Family,2010,Valid visa,7171
Africa Sub-Saharan,2005,Family,2011,Expired,2724
Africa Sub-Saharan,2005,Family,2011,Valid visa,7156
Africa Sub-Saharan,2005,Family,2012,Expired,2753
Africa Sub-Saharan,2005,Family,2012,Valid visa,7127
Africa Sub-Saharan,2005,Family,2013,Expired,2822
Africa Sub-Saharan,2005,Family,2013,Valid visa,7058
Africa Sub-Saharan,2005,Family,2014,Expired,2896
Africa Sub-Saharan,2005,Family,2014,Valid visa,6984
Africa Sub-Saharan,2005,Family,2015,Expired,2945
Africa Sub-Saharan,2005,Family,2015,Valid visa,6935
Africa Sub-Saharan,2005,Family,2016,Expired,2949
Africa Sub-Saharan,2005,Family,2016,Valid visa,6931
Africa Sub-Saharan,2005,Family,2017,Expired,2952
Africa Sub-Saharan,2005,Family,2017,Valid visa,6928
Africa Sub-Saharan,2005,Family,2018,Expired,2954
Africa Sub-Saharan,2005,Family,2018,Valid visa,6926
Africa Sub-Saharan,2005,Family,2019,Expired,2959
Africa Sub-Saharan,2005,Family,2019,Valid visa,6921
Africa Sub-Saharan,2005,Family,2020,Expired,2968
Africa Sub-Saharan,2005,Family,2020,Valid visa,6912
Africa Sub-Saharan,2006,Family,2006,Expired,139
Africa Sub-Saharan,2006,Family,2006,Valid visa,8324
Africa Sub-Saharan,2006,Family,2007,Expired,802
Africa Sub-Saharan,2006,Family,2007,Valid visa,7661
Africa Sub-Saharan,2006,Family,2008,Expired,1583
Africa Sub-Saharan,2006,Family,2008,Valid visa,6880
Africa Sub-Saharan,2006,Family,2009,Expired,1672
Africa Sub-Saharan,2006,Family,2009,Valid visa,6791
Africa Sub-Saharan,2006,Family,2010,Expired,1790
Africa Sub-Saharan,2006,Family,2010,Valid visa,6673
Africa Sub-Saharan,2006,Family,2011,Expired,1862
Africa Sub-Saharan,2006,Family,2011,Valid visa,6601
Africa Sub-Saharan,2006,Family,2012,Expired,1874
Africa Sub-Saharan,2006,Family,2012,Valid visa,6589
Africa Sub-Saharan,2006,Family,2013,Expired,1911
Africa Sub-Saharan,2006,Family,2013,Valid visa,6552
Africa Sub-Saharan,2006,Family,2014,Expired,1932
Africa Sub-Saharan,2006,Family,2014,Valid visa,6531
Africa Sub-Saharan,2006,Family,2015,Expired,1977
Africa Sub-Saharan,2006,Family,2015,Valid visa,6486
Africa Sub-Saharan,2006,Family,2016,Expired,2003
Africa Sub-Saharan,2006,Family,2016,Valid visa,6460
Africa Sub-Saharan,2006,Family,2017,Expired,2008
Africa Sub-Saharan,2006,Family,2017,Valid visa,6455
Africa Sub-Saharan,2006,Family,2018,Expired,2013
Africa Sub-Saharan,2006,Family,2018,Valid visa,6450
Africa Sub-Saharan,2006,Family,2019,Expired,2015
Africa Sub-Saharan,2006,Family,2019,Valid visa,6448
Africa Sub-Saharan,2006,Family,2020,Expired,2039
Africa Sub-Saharan,2006,Family,2020,Valid visa,6424
Africa Sub-Saharan,2007,Family,2007,Expired,238
Africa Sub-Saharan,2007,Family,2007,Valid visa,8649
Africa Sub-Saharan,2007,Family,2008,Expired,844
Africa Sub-Saharan,2007,Family,2008,Valid visa,8043
Africa Sub-Saharan,2007,Family,2009,Expired,1524
Africa Sub-Saharan,2007,Family,2009,Valid visa,7363
Africa Sub-Saharan,2007,Family,2010,Expired,1601
Africa Sub-Saharan,2007,Family,2010,Valid visa,7286
Africa Sub-Saharan,2007,Family,2011,Expired,1726
Africa Sub-Saharan,2007,Family,2011,Valid visa,7161
Africa Sub-Saharan,2007,Family,2012,Expired,1784
Africa Sub-Saharan,2007,Family,2012,Valid visa,7103
Africa Sub-Saharan,2007,Family,2013,Expired,1801
Africa Sub-Saharan,2007,Family,2013,Valid visa,7086
Africa Sub-Saharan,2007,Family,2014,Expired,1812
Africa Sub-Saharan,2007,Family,2014,Valid visa,7075
Africa Sub-Saharan,2007,Family,2015,Expired,1835
Africa Sub-Saharan,2007,Family,2015,Valid visa,7052
Africa Sub-Saharan,2007,Family,2016,Expired,1860
Africa Sub-Saharan,2007,Family,2016,Valid visa,7027
Africa Sub-Saharan,2007,Family,2017,Expired,1872
Africa Sub-Saharan,2007,Family,2017,Valid visa,7015
Africa Sub-Saharan,2007,Family,2018,Expired,1874
