age,sex,ethgrp,cob,n
75,M,Chinese,Non_UK,1
75,M,Indian,Non_UK,6
75,M,Pakistani,Non_UK,7
75,M,Pakistani,NA,2
75,M,White,Non_UK,2
75,M,White,UK,10
76,F,Indian,Non_UK,5
76,F,Pakistani,Non_UK,2
76,F,White,UK,9
76,M,Black-African,Non_UK,3
76,M,Black-Caribbean,Non_UK,1
76,M,Indian,Non_UK,3
76,M,Indian,NA,1
76,M,Mixed-Other,Non_UK,1
76,M,Pakistani,Non_UK,8
76,M,Pakistani,NA,1
76,M,White,Non_UK,1
76,M,White,UK,14
76,M,White,NA,2
76,M,NA,UK,2
77,F,Bangladeshi,Non_UK,1
77,F,Black-African,Non_UK,1
77,F,Indian,Non_UK,2
77,F,Pakistani,Non_UK,5
77,F,White,Non_UK,2
77,F,White,UK,3
77,F,NA,Non_UK,2
77,F,NA,NA,3
77,M,Bangladeshi,Non_UK,2
77,M,Chinese,Non_UK,1
77,M,Indian,Non_UK,3
77,M,Indian,NA,2
77,M,Mixed-Other,Non_UK,2
77,M,Pakistani,Non_UK,6
77,M,White,UK,10
77,M,White,NA,2
78,F,Black-African,Non_UK,1
78,F,Indian,Non_UK,4
78,F,Mixed-Other,Non_UK,3
78,F,Pakistani,Non_UK,5
78,F,White,UK,3
78,F,White,NA,1
78,M,Indian,Non_UK,3
78,M,Indian,NA,1
78,M,Mixed-Other,NA,1
78,M,Pakistani,Non_UK,9
78,M,White,Non_UK,1
78,M,White,UK,14
78,M,NA,Non_UK,1
79,F,Black-African,Non_UK,1
79,F,Indian,Non_UK,4
79,F,Pakistani,Non_UK,5
79,F,White,Non_UK,1
79,F,White,UK,9
79,F,White,NA,1
79,M,Indian,Non_UK,5
79,M,Mixed-Other,Non_UK,1
79,M,Pakistani,Non_UK,5
79,M,White,UK,11
79,M,White,NA,5
80,F,Black-African,Non_UK,2
80,F,Black-African,NA,1
80,F,Indian,Non_UK,4
80,F,Pakistani,Non_UK,2
80,F,White,UK,7
80,F,White,NA,1
80,F,NA,Non_UK,1
80,F,NA,UK,1
80,M,Bangladeshi,Non_UK,1
80,M,Black-African,Non_UK,1
80,M,Black-Caribbean,Non_UK,1
80,M,Indian,Non_UK,3
80,M,Mixed-Other,NA,1
80,M,Pakistani,Non_UK,6
80,M,White,Non_UK,1
80,M,White,UK,9
80,M,White,NA,5
80,M,NA,Non_UK,1
80,M,NA,NA,1
81,F,Bangladeshi,NA,1
81,F,Black-African,Non_UK,1
81,F,Black-Caribbean,Non_UK,2
81,F,Indian,Non_UK,3
81,F,Pakistani,Non_UK,4
81,F,Pakistani,NA,1
81,F,White,UK,3
81,F,NA,Non_UK,1
81,F,NA,NA,1
81,M,Bangladeshi,Non_UK,1
81,M,Black-Caribbean,Non_UK,1
81,M,Chinese,Non_UK,1
81,M,Indian,Non_UK,3
81,M,Pakistani,Non_UK,5
81,M,White,Non_UK,1
81,M,White,UK,6
81,M,White,NA,2
82,F,Black-African,Non_UK,1
82,F,Black-Other,NA,1
82,F,Indian,Non_UK,1
82,F,Pakistani,Non_UK,3
82,F,White,UK,3
82,F,White,NA,2
82,M,Bangladeshi,Non_UK,1
82,M,Indian,Non_UK,6
82,M,Mixed-Other,Non_UK,2
82,M,Pakistani,Non_UK,1
82,M,White,Non_UK,1
82,M,White,UK,7
82,NA,NA,NA,1
83,F,Indian,Non_UK,1
83,F,Indian,NA,1
83,F,Pakistani,Non_UK,4
83,F,White,UK,5
83,M,Indian,Non_UK,5
83,M,Pakistani,Non_UK,3
83,M,White,UK,10
83,M,NA,UK,1
83,NA,White,UK,1
84,F,Black-Caribbean,Non_UK,1
84,F,Chinese,Non_UK,1
84,F,Indian,Non_UK,3
84,F,Pakistani,Non_UK,2
84,F,White,UK,2
84,F,NA,NA,1
84,M,Black-African,Non_UK,1
84,M,Indian,Non_UK,4
84,M,Mixed-Other,NA,1
84,M,Pakistani,Non_UK,1
84,M,White,UK,14
84,M,NA,NA,1
85,F,Indian,NA,1
85,F,Pakistani,Non_UK,1
85,F,White,Non_UK,1
85,M,Black-Other,NA,1
85,M,Indian,Non_UK,2
85,M,Mixed-Other,Non_UK,1
85,M,Pakistani,Non_UK,5
85,M,White,UK,4
85,M,White,NA,2
86,F,Black-African,Non_UK,1
86,F,Pakistani,Non_UK,3
86,F,Pakistani,NA,1
86,F,White,UK,2
86,F,NA,UK,1
86,M,Indian,Non_UK,2
86,M,Pakistani,Non_UK,3
86,M,White,Non_UK,2
86,M,White,UK,6
86,NA,White,UK,1
87,F,Indian,Non_UK,3
87,F,Mixed-Other,Non_UK,1
87,F,White,UK,5
87,M,Black-Caribbean,Non_UK,2
87,M,Indian,Non_UK,2
87,M,Pakistani,Non_UK,4
87,M,White,Non_UK,2
87,M,White,UK,5
87,M,NA,NA,1
88,F,Chinese,Non_UK,1
88,F,Indian,Non_UK,1
88,F,Mixed-Other,Non_UK,1
88,F,White,Non_UK,1
88,F,White,UK,3
88,F,NA,UK,1
88,F,NA,NA,1
88,M,Indian,Non_UK,2
88,M,Pakistani,Non_UK,2
88,M,White,Non_UK,1
88,M,White,UK,5
89,F,Bangladeshi,Non_UK,1
89,F,Indian,Non_UK,1
89,F,White,UK,1
89,M,Indian,Non_UK,3
89,M,Pakistani,Non_UK,1
89,M,White,UK,6
89,M,White,NA,1
89,M,NA,NA,1
90,F,Indian,Non_UK,1
90,F,White,Non_UK,1
90,F,White,UK,4
90,F,NA,UK,2
90,M,White,UK,2
91,F,White,Non_UK,1
91,M,Bangladeshi,Non_UK,1
91,M,Black-Caribbean,Non_UK,1
91,M,Pakistani,Non_UK,2
91,M,White,Non_UK,2
91,M,White,UK,5
92,F,Indian,Non_UK,1
92,F,White,UK,1
92,M,White,UK,1
93,F,Pakistani,Non_UK,1
93,F,White,UK,1
93,M,White,UK,1
94,F,White,NA,1
94,M,White,UK,1
94,M,NA,Non_UK,1
95,F,Indian,Non_UK,1
97,F,Indian,Non_UK,1
97,F,Pakistani,Non_UK,1
97,M,Indian,Non_UK,1
