ModelYear	Year	Ethnicity	Sex	ROB	Age	Value	ShortTerm
0	2011	0	0	1	33	217123.00	0.00
0	2011	0	0	1	34	219598.00	0.00
0	2011	0	0	1	35	226944.00	0.00
0	2011	0	0	1	36	240476.00	0.00
0	2011	0	0	1	37	250710.00	0.00
0	2011	0	0	1	38	270129.00	0.00
0	2011	0	0	1	39	289765.00	0.00
0	2011	0	0	1	40	295298.00	0.00
0	2011	0	0	1	41	292385.00	0.00
0	2011	0	0	1	42	303599.00	0.00
0	2011	0	0	1	43	307301.00	0.00
0	2011	0	0	1	44	318349.00	0.00
0	2011	0	0	1	45	319085.00	0.00
0	2011	0	0	1	46	324497.00	0.00
0	2011	0	0	1	47	320048.00	0.00
0	2011	0	0	1	48	315877.00	0.00
0	2011	0	0	1	49	310437.00	0.00
0	2011	0	0	1	50	300999.00	0.00
0	2011	0	0	1	51	287813.00	0.00
0	2011	0	0	1	52	285458.00	0.00
0	2011	0	0	1	53	281584.00	0.00
0	2011	0	0	1	54	269427.00	0.00
0	2011	0	0	1	55	260068.00	0.00
0	2011	0	0	1	56	255356.00	0.00
0	2011	0	0	1	57	260162.00	0.00
0	2011	0	0	1	58	253416.00	0.00
0	2011	0	0	1	59	252341.00	0.00
0	2011	0	0	1	60	255280.00	0.00
0	2011	0	0	1	61	265392.00	0.00
0	2011	0	0	1	62	275362.00	0.00
0	2011	0	0	1	63	303075.00	0.00
0	2011	0	0	1	64	308213.00	0.00
0	2011	0	0	1	65	232305.00	0.00
0	2011	0	0	1	66	247030.00	0.00
0	2011	0	0	1	67	228435.00	0.00
0	2011	0	0	1	68	213807.00	0.00
0	2011	0	0	1	69	182962.00	0.00
0	2011	0	0	1	70	173269.00	0.00
0	2011	0	0	1	71	180105.00	0.00
0	2011	0	0	1	72	176254.00	0.00
0	2011	0	0	1	73	170202.00	0.00
0	2011	0	0	1	74	161422.00	0.00
0	2011	0	0	1	75	151647.00	0.00
0	2011	0	0	1	76	144117.00	0.00
0	2011	0	0	1	77	132669.00	0.00
0	2011	0	0	1	78	127923.00	0.00
0	2011	0	0	1	79	121550.00	0.00
0	2011	0	0	1	80	115273.00	0.00
0	2011	0	0	1	81	103663.00	0.00
0	2011	0	0	1	82	93582.00	0.00
0	2011	0	0	1	83	82716.00	0.00
0	2011	0	0	1	84	75425.00	0.00
0	2011	0	0	1	85	66078.00	0.00
0	2011	0	0	1	86	56401.00	0.00
0	2011	0	0	1	87	48755.00	0.00
0	2011	0	0	1	88	41343.00	0.00
0	2011	0	0	1	89	36650.00	0.00
0	2011	0	0	1	90	31116.00	0.00
0	2011	0	0	1	91	22031.00	0.00
0	2011	0	0	1	92	12372.00	0.00
0	2011	0	0	1	93	8892.00	0.00
0	2011	0	0	1	94	7704.00	0.00
0	2011	0	0	1	95	5631.00	0.00
0	2011	0	0	1	96	4235.00	0.00
0	2011	0	0	1	97	2766.00	0.00
