# Immigration data for 2011. 
Ethnicity	EthnicityIndex	Sex	ROB	Age	Value
White	0	1	1	3	138.9882032
White	0	1	1	4	90.14560635
White	0	1	1	5	126.759773
White	0	1	1	6	119.3869943
White	0	1	1	7	120.179488
White	0	1	1	8	122.6798067
White	0	1	1	9	143.9351882
White	0	1	1	10	141.3181918
White	0	1	1	11	145.9620796
White	0	1	1	12	148.2129133
White	0	1	1	13	158.9221165
White	0	1	1	14	392.9755102
White	0	1	1	15	98.13817749
White	0	1	1	16	127.5224786
White	0	1	1	17	192.2252937
White	0	1	1	18	313.3701128
White	0	1	1	19	334.8062141
White	0	1	1	20	333.7569963
White	0	1	1	21	400.2202906
White	0	1	1	22	345.1739414
White	0	1	1	23	327.5225384
White	0	1	1	24	299.6061037
White	0	1	1	25	571.4812611
White	0	1	1	26	515.829642
White	0	1	1	27	504.366694
White	0	1	1	28	452.3000323
White	0	1	1	29	342.9336727
White	0	1	1	30	408.1714124
White	0	1	1	31	369.5826142
White	0	1	1	32	295.3471725
White	0	1	1	33	285.5193681
White	0	1	1	34	262.0275584
White	0	1	1	35	351.9278482
White	0	1	1	36	329.5169426
White	0	1	1	37	315.37581
White	0	1	1	38	258.3854808
White	0	1	1	39	264.5012358
White	0	1	1	40	432.9297254
White	0	1	1	41	405.4849911
White	0	1	1	42	369.3993973
White	0	1	1	43	307.93798
White	0	1	1	44	238.9546693
White	0	1	1	45	220.9143193
White	0	1	1	46	206.4162749
White	0	1	1	47	193.0059846
White	0	1	1	48	199.5326956
White	0	1	1	49	411.8197088
White	0	1	1	50	532.4773424
White	0	1	1	51	563.6295983
White	0	1	1	52	498.3481188
White	0	1	1	53	531.7816258
White	0	1	1	54	300.1005176
White	0	1	1	55	328.0109195
White	0	1	1	56	312.5895118
White	0	1	1	57	297.9492246
White	0	1	1	58	258.9589496
White	0	1	1	59	179.2299744
White	0	1	1	60	177.7531979
White	0	1	1	61	169.917783
White	0	1	1	62	112.8473235
White	0	1	1	63	358.0554771
White	0	1	1	64	225.2139764
White	0	1	1	65	179.7601555
White	0	1	1	66	419.7992548
White	0	1	1	67	251.2887806
White	0	1	1	68	257.6981509
White	0	1	1	69	203.0832466
White	0	1	1	70	218.9725828
White	0	1	1	71	194.3994968
White	0	1	1	72	220.493496
White	0	1	1	73	212.866139
White	0	1	1	74	152.8153882
White	0	1	1	75	134.2610363
White	0	1	1	76	112.0994555
White	0	1	1	77	118.8352426
White	0	1	1	78	96.103787
White	0	1	1	79	75.21631301
White	0	1	1	80	108.6878795
White	0	1	1	81	82.06283661
White	0	1	1	82	95.12373703
White	0	1	1	83	77.26564109
White	0	1	1	84	86.79532457
White	0	1	1	85	23.28255936
White	0	1	1	86	28.55967897
White	0	1	1	87	32.98409178
White	0	1	1	88	23.60157781
White	0	1	1	89	76.52141464
White	0	1	1	90	0
White	0	1	1	91	0
White	0	1	1	92	0
White	0	1	1	93	0
White	0	1	1	94	0
White	0	1	1	95	0
White	0	1	1	96	0
White	0	1	1	97	0
White	0	1	1	98	0
White	0	1	1	99	0
White	0	1	1	100	0
Bangladesh	1	0	0	0	13.31079987
Bangladesh	1	0	0	1	15.0255492
Bangladesh	1	0	0	2	15.93858644
Bangladesh	1	0	0	3	17.44249525
Bangladesh	1	0	0	4	12.58743909
Bangladesh	1	0	0	5	7.158325337
Bangladesh	1	0	0	6	5.943970751
Bangladesh	1	0	0	7	7.55386835
Bangladesh	1	0	0	8	7.626052591
Bangladesh	1	0	0	9	14.32059141
Bangladesh	1	0	0	10	13.65213704
Bangladesh	1	0	0	11	12.75126989
Bangladesh	1	0	0	12	12.74770697
Bangladesh	1	0	0	13	12.37743709
Bangladesh	1	0	0	14	25.83833846
Bangladesh	1	0	0	15	28.77189244
Bangladesh	1	0	0	16	33.38567953
Bangladesh	1	0	0	17	53.65008151
Bangladesh	1	0	0	18	87.04390629
Bangladesh	1	0	0	19	128.102409
Bangladesh	1	0	0	20	160.6480472
Bangladesh	1	0	0	21	186.7656526
Bangladesh	1	0	0	22	190.4378695
Bangladesh	1	0	0	23	180.2119253
Bangladesh	1	0	0	24	117.1067703
Bangladesh	1	0	0	25	103.4399456
Bangladesh	1	0	0	26	96.8733319
Bangladesh	1	0	0	27	93.11740962
Bangladesh	1	0	0	28	87.04957465
Bangladesh	1	0	0	29	56.48674913
Bangladesh	1	0	0	30	48.60269242
Bangladesh	1	0	0	31	45.26997882
Bangladesh	1	0	0	32	40.29633541
Bangladesh	1	0	0	33	38.43376974
Bangladesh	1	0	0	34	36.97771146
Bangladesh	1	0	0	35	29.86329065
Bangladesh	1	0	0	36	28.41339292
Bangladesh	1	0	0	37	24.88033157
Bangladesh	1	0	0	38	22.63832497
Bangladesh	1	0	0	39	9.584486813
Bangladesh	1	0	0	40	6.581784784
Bangladesh	1	0	0	41	5.606438156
Bangladesh	1	0	0	42	4.689024087
Bangladesh	1	0	0	43	4.210762699
Bangladesh	1	0	0	44	9.566487603
Bangladesh	1	0	0	45	9.629311955
Bangladesh	1	0	0	46	9.386571796
Bangladesh	1	0	0	47	8.940567282
Bangladesh	1	0	0	48	8.514479437
Bangladesh	1	0	0	49	2.644520214
Bangladesh	1	0	0	50	2.093260749
Bangladesh	1	0	0	51	1.89936826
Bangladesh	1	0	0	52	1.945141338
Bangladesh	1	0	0	53	1.870240892
Bangladesh	1	0	0	54	1.583594193
Bangladesh	1	0	0	55	1.179679818
Bangladesh	1	0	0	56	1.194739763
Bangladesh	1	0	0	57	1.158721904
Bangladesh	1	0	0	58	0.916668892
Bangladesh	1	0	0	59	0.983739165
Bangladesh	1	0	0	60	0.800561022
Bangladesh	1	0	0	61	0.742662827
Bangladesh	1	0	0	62	0.690990403
Bangladesh	1	0	0	63	1.037406538
Bangladesh	1	0	0	64	1.219031588
Bangladesh	1	0	0	65	0.80771179
Bangladesh	1	0	0	66	0.839622123
Bangladesh	1	0	0	67	0.58863696
Bangladesh	1	0	0	68	0.759646585
Bangladesh	1	0	0	69	0.151719786
Bangladesh	1	0	0	70	0.170898257
Bangladesh	1	0	0	71	0.199244929
Bangladesh	1	0	0	72	0.17477716
