# Emigration rates for 2011. 
Ethnicity	EthnicityIndex	Sex	ROB	Age	Value
Bangladesh	1	1	0	2	0.034185099
Bangladesh	1	1	0	3	0.01988131
Bangladesh	1	1	0	4	0.014313252
Bangladesh	1	1	0	5	0.02179855
Bangladesh	1	1	0	6	0.020815631
Bangladesh	1	1	0	7	0.017547286
Bangladesh	1	1	0	8	0.014182072
Bangladesh	1	1	0	9	0.007204276
Bangladesh	1	1	0	10	0.006362133
Bangladesh	1	1	0	11	0.004971025
Bangladesh	1	1	0	12	0.004799209
Bangladesh	1	1	0	13	0.00402388
Bangladesh	1	1	0	14	0.00610998
Bangladesh	1	1	0	15	0.004397563
Bangladesh	1	1	0	16	0.005434943
Bangladesh	1	1	0	17	0.011906671
Bangladesh	1	1	0	18	0.022825243
Bangladesh	1	1	0	19	0.05995576
Bangladesh	1	1	0	20	0.077170251
Bangladesh	1	1	0	21	0.068934832
Bangladesh	1	1	0	22	0.041413188
Bangladesh	1	1	0	23	0.032484669
Bangladesh	1	1	0	24	0.044464689
Bangladesh	1	1	0	25	0.039789229
Bangladesh	1	1	0	26	0.032522843
Bangladesh	1	1	0	27	0.024012139
Bangladesh	1	1	0	28	0.019220897
Bangladesh	1	1	0	29	0.016301518
Bangladesh	1	1	0	30	0.013210477
Bangladesh	1	1	0	31	0.01136033
Bangladesh	1	1	0	32	0.011882622
Bangladesh	1	1	0	33	0.010574804
Bangladesh	1	1	0	34	0.013152502
Bangladesh	1	1	0	35	0.012891365
Bangladesh	1	1	0	36	0.011763442
Bangladesh	1	1	0	37	0.011935969
Bangladesh	1	1	0	38	0.014257643
Bangladesh	1	1	0	39	0.007638492
Bangladesh	1	1	0	40	0.009346432
Bangladesh	1	1	0	41	0.010943527
Bangladesh	1	1	0	42	0.010630842
Bangladesh	1	1	0	43	0.011999787
Bangladesh	1	1	0	44	0.010577018
Bangladesh	1	1	0	45	0.009795656
Bangladesh	1	1	0	46	0.008890249
Bangladesh	1	1	0	47	0.00958188
Bangladesh	1	1	0	48	0.009682943
Bangladesh	1	1	0	49	0.009479695
Bangladesh	1	1	0	50	0.009836313
Bangladesh	1	1	0	51	0.009625711
Bangladesh	1	1	0	52	0.010059532
Bangladesh	1	1	0	53	0.008398751
Bangladesh	1	1	0	54	0.005506218
Bangladesh	1	1	0	55	0.0077139
Bangladesh	1	1	0	56	0.006043307
Bangladesh	1	1	0	57	0.004392974
Bangladesh	1	1	0	58	0.00608211
Bangladesh	1	1	0	59	0.004498594
Bangladesh	1	1	0	60	0.004702304
Bangladesh	1	1	0	61	0.005876072
Bangladesh	1	1	0	62	0.010440398
Bangladesh	1	1	0	63	0.003584611
Bangladesh	1	1	0	64	0.021230054
Bangladesh	1	1	0	65	0.01527217
Bangladesh	1	1	0	66	0.015318815
Bangladesh	1	1	0	67	0.015671957
Bangladesh	1	1	0	68	0.011441718
Bangladesh	1	1	0	69	0.016189642
Bangladesh	1	1	0	70	0.010176669
Bangladesh	1	1	0	71	0.007432873
Bangladesh	1	1	0	72	0.010004884
Bangladesh	1	1	0	73	0.013595483
Bangladesh	1	1	0	74	0.01201955
Bangladesh	1	1	0	75	0.007963737
Bangladesh	1	1	0	76	0.011806673
Bangladesh	1	1	0	77	0.018113328
Bangladesh	1	1	0	78	0.015139674
Bangladesh	1	1	0	79	0.023502953
Bangladesh	1	1	0	80	0.018375725
Bangladesh	1	1	0	81	0.024483375
Bangladesh	1	1	0	82	0.03032839
Bangladesh	1	1	0	83	0.062482871
Bangladesh	1	1	0	84	0.107280456
Bangladesh	1	1	0	85	0.084662527
Bangladesh	1	1	0	86	0.090928252
Bangladesh	1	1	0	87	0.095330597
Bangladesh	1	1	0	88	0.10940094
Bangladesh	1	1	0	89	0.734143094
Bangladesh	1	1	0	90	0
Bangladesh	1	1	0	91	0
Bangladesh	1	1	0	92	0
Bangladesh	1	1	0	93	0
Bangladesh	1	1	0	94	0
Bangladesh	1	1	0	95	0
Bangladesh	1	1	0	96	0
Bangladesh	1	1	0	97	0
Bangladesh	1	1	0	98	0
Bangladesh	1	1	0	99	0
Bangladesh	1	1	0	100	0
Bangladesh	1	0	1	0	0.007828948
Bangladesh	1	0	1	1	0.004506794
Bangladesh	1	0	1	2	0.002436054
Bangladesh	1	0	1	3	0.001407823
Bangladesh	1	0	1	4	0.000795546
Bangladesh	1	0	1	5	0.001165905
Bangladesh	1	0	1	6	0.001045057
Bangladesh	1	0	1	7	0.000967006
Bangladesh	1	0	1	8	0.000570442
Bangladesh	1	0	1	9	0.000419891
Bangladesh	1	0	1	10	0.000329598
Bangladesh	1	0	1	11	0.000235645
Bangladesh	1	0	1	12	0.000222951
Bangladesh	1	0	1	13	0.000195188
Bangladesh	1	0	1	14	0.000245565
Bangladesh	1	0	1	15	0.000518081
Bangladesh	1	0	1	16	0.000582172
Bangladesh	1	0	1	17	0.001224423
Bangladesh	1	0	1	18	0.001835295
Bangladesh	1	0	1	19	0.004410287
Bangladesh	1	0	1	20	0.004344036
Bangladesh	1	0	1	21	0.004615866
Bangladesh	1	0	1	22	0.004889939
Bangladesh	1	0	1	23	0.00514785
Bangladesh	1	0	1	24	0.00546726
Bangladesh	1	0	1	25	0.00609078
Bangladesh	1	0	1	26	0.005348898
Bangladesh	1	0	1	27	0.004982552
